City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,heihe,50.2441,127.4902,-21.68,99,30,1.58,CN,1676141301
307,mbeya,-8.9,33.45,15.55,98,100,2.21,TZ,1676141302
308,san patricio,28.017,-97.5169,16.06,24,0,7.22,US,1676141302
309,mayor pablo lagerenza,-19.9309,-60.7718,33.95,45,82,2.48,PY,1676141302
310,olinda,-8.0089,-34.8553,28.85,65,40,4.63,BR,1676140787
311,jimenez,28.3333,-105.4,12.61,20,100,4.35,MX,1676141303
312,udachnyy,66.4167,112.4,-27.29,99,100,0.63,RU,1676141303
313,victor harbor,-35.5667,138.6167,14.27,74,13,5.5,AU,1676141304
314,lakatoro,-16.0999,167.4164,26.97,82,100,4.37,VU,1676141304
315,bremerton,47.5673,-122.6326,8.44,79,100,1.79,US,1676141044
316,tommot,58.9564,126.2925,-20.13,95,100,2.21,RU,1676141304
317,petropavlovsk-kamchatskiy,53.0452,158.6483,-19.67,78,0,4.0,RU,1676141305
318,saint anthony,45.0205,-93.218,2.96,60,0,5.14,US,1676141122
319,varhaug,58.6147,5.6457,7.86,93,100,6.49,NO,1676141305
320,pochutla,15.7432,-96.4661,31.01,40,0,4.78,MX,1676141305
321,severo-kurilsk,50.6789,156.125,-7.62,65,94,4.11,RU,1676141306
322,richards bay,-28.783,32.0377,22.54,97,100,1.41,ZA,1676141306
323,oistins,13.0667,-59.5333,28.05,61,40,10.8,BB,1676141306
324,terrace,54.5163,-128.6035,1.95,93,75,5.66,CA,1676141307
325,talovaya,51.1144,40.73,-5.15,93,100,5.55,RU,1676141307
326,iralaya,15.0,-83.2333,25.7,83,7,6.07,HN,1676141307
327,barabai,-2.5833,115.3833,23.56,91,100,0.44,ID,1676141308
328,ust-nera,64.5667,143.2,-30.94,98,100,1.85,RU,1676141308
329,gwadar,25.1216,62.3254,21.52,38,0,4.36,PK,1676141308
330,mayskiy,47.6931,40.1025,-4.33,86,100,3.34,RU,1676141309
